Ascore,Cases,Value
12,1,-3.46436
16,1,-3.15735
18,1,-3.00537
23,1,-2.90161
24,2,-2.78793
25,1,-2.70172
26,7,-2.5383
27,7,-2.35413
28,8,-2.21844
29,13,-2.07848
30,18,-1.92595
31,24,-1.772
32,30,-1.6209
33,34,-1.47955
34,42,-1.34289
35,45,-1.21213
36,62,-1.07533
37,83,-0.91699
38,82,-0.76096
39,102,-0.60633
40,98,-0.45321
41,114,-0.30172
42,101,-0.15487
43,105,-0.01729
44,118,0.13136
45,112,0.28783
46,100,0.43852
47,100,0.59042
48,104,0.76096
49,85,0.94156
50,68,1.11406
51,58,1.2861
52,39,1.45039
53,36,1.61108
54,36,1.81866
55,16,2.03972
56,14,2.23427
57,8,2.46262
58,7,2.75696
59,1,3.15735
60,1,3.46436
