Escore,Cases,Value
16,2,-3.27393
18,1,-3.00537
19,6,-2.72827
20,3,-2.5383
21,3,-2.44904
22,8,-2.32338
23,5,-2.21069
24,9,-2.11437
25,4,-2.03972
26,21,-1.92173
27,23,-1.7625
28,23,-1.6334
29,32,-1.50796
30,38,-1.37639
31,55,-1.23177
32,52,-1.09207
33,77,-0.94779
34,68,-0.80615
35,58,-0.69509
36,89,-0.57545
37,90,-0.43999
38,106,-0.30033
39,107,-0.15487
40,130,0.00332
41,116,0.16767
42,109,0.32197
43,105,0.47617
44,103,0.63779
45,91,0.80523
46,69,0.96248
47,64,1.11406
48,62,1.2861
49,37,1.45421
50,25,1.58487
51,34,1.74091
52,21,1.93886
53,15,2.127
54,10,2.32338
55,9,2.57309
56,2,2.8595
58,1,3.00537
59,2,3.27393
